Nazwa miejscowości,Gmina,Powiat (miasto na prawach powiatu),Województwo,Identyfikator miejscowości z krajowego rejestru urzędowego podziału terytorialnego kraju TERYT
Pasłęk,Pasłęk,elbląski,warmińsko-mazurskie,932927
Pasym,Pasym,szczycieński,warmińsko-mazurskie,485813
Pelplin,Pelplin,tczewski,pomorskie,934599
Pełczyce,Pełczyce,choszczeński,zachodniopomorskie,935601
Piaseczno,Piaseczno,piaseczyński,mazowieckie,921438
Piaski,Piaski,świdnicki,lubelskie,389386
Piastów,Piastów,pruszkowski,mazowieckie,921496
Piechowice,Piechowice,jeleniogórski,dolnośląskie,936285
Piekary Śląskie,Piekary Śląskie,Piekary Śląskie,śląskie,942104
Pieniężno,Pieniężno,braniewski,warmińsko-mazurskie,932956
Pieńsk,Pieńsk,zgorzelecki,dolnośląskie,936351
Pieszyce,Pieszyce,dzierżoniowski,dolnośląskie,984396
Pilawa,Pilawa,garwoliński,mazowieckie,975753
Pilica,Pilica,zawierciański,śląskie,219566
Pilzno,Pilzno,dębicki,podkarpackie,982345
Piła,Piła,pilski,wielkopolskie,966530
Piława Górna,Piława Górna,dzierżoniowski,dolnośląskie,984491
Pińczów,Pińczów,pińczowski,świętokrzyskie,947580
Pionki,Pionki m,radomski,mazowieckie,973748
Piotrków Kujawski,Piotrków Kujawski,radziejowski,kujawsko-pomorskie,867510
Piotrków Trybunalski,Piotrków Trybunalski,Piotrków Trybunalski,łódzkie,967430
Pisz,Pisz,piski,warmińsko-mazurskie,977835
Piwniczna-Zdrój,Piwniczna-Zdrój,nowosądecki,małopolskie,961768
Pleszew,Pleszew,pleszewski,wielkopolskie,937280
Płock,Płock,Płock,mazowieckie,968687
Płońsk,Płońsk m,płoński,mazowieckie,930800
Płoty,Płoty,gryficki,zachodniopomorskie,979432
Pniewy,Pniewy,szamotulski,wielkopolskie,971270
Pobiedziska,Pobiedziska,poznański,wielkopolskie,971287
Poddębice,Poddębice,poddębicki,łódzkie,976400
Podkowa Leśna,Podkowa Leśna,grodziski,mazowieckie,921504
Pogorzela,Pogorzela,gostyński,wielkopolskie,954580
Polanica-Zdrój,Polanica-Zdrój,kłodzki,dolnośląskie,984522
Polanów,Polanów,koszaliński,zachodniopomorskie,950115
Police,Police,policki,zachodniopomorskie,979449
Polkowice,Polkowice,polkowicki,dolnośląskie,954165
Połaniec,Połaniec,staszowski,świętokrzyskie,980783
Połczyn-Zdrój,Połczyn-Zdrój,świdwiński,zachodniopomorskie,950144
Poniatowa,Poniatowa,opolski,lubelskie,956744
Poniec,Poniec,gostyński,wielkopolskie,954596
Poręba,Poręba,zawierciański,śląskie,942216
Poznań,Poznań,Poznań,wielkopolskie,969400
Prabuty,Prabuty,kwidzyński,pomorskie,932962
Praszka,Praszka,oleski,opolskie,932353
Prochowice,Prochowice,legnicki,dolnośląskie,954171
Proszowice,Proszowice,proszowicki,małopolskie,951818
Prószków,Prószków,opolski,opolskie,502523
Pruchnik,Pruchnik,jarosławski,podkarpackie,608316
Prudnik,Prudnik,prudnicki,opolskie,965878
Prusice,Prusice,trzebnicki,dolnośląskie,879914
Pruszcz Gdański,Pruszcz Gdański m,gdański,pomorskie,934620
Pruszków,Pruszków,pruszkowski,mazowieckie,921510
Przasnysz,Przasnysz m,przasnyski,mazowieckie,966398
Przecław,Przecław,mielecki,podkarpackie,658828
Przedbórz,Przedbórz,radomszczański,łódzkie,968026
Przedecz,Przedecz,kolski,wielkopolskie,949129
Przemków,Przemków,polkowicki,dolnośląskie,954194
Przemyśl,Przemyśl m,Przemyśl,podkarpackie,971672
Przeworsk,Przeworsk m,przeworski,podkarpackie,972513
Przysucha,Przysucha,przysuski,mazowieckie,973777
Pszczyna,Pszczyna,pszczyński,śląskie,942222
Pszów,Pszów,wodzisławski,śląskie,945083
Puck,Puck m,pucki,pomorskie,934636
Puławy,Puławy m,puławski,lubelskie,956810
Pułtusk,Pułtusk,pułtuski,mazowieckie,930816
Puszczykowo,Puszczykowo,poznański,wielkopolskie,971376
Pyrzyce,Pyrzyce,pyrzycki,zachodniopomorskie,979515
Pyskowice,Pyskowice,gliwicki,śląskie,942417
Pyzdry,Pyzdry,wrzesiński,wielkopolskie,949164
Rabka-Zdrój,Rabka-Zdrój,nowotarski,małopolskie,962503
Raciąż,Raciąż m,płoński,mazowieckie,930839
Racibórz,Racibórz,raciborski,śląskie,942469
Radków,Radków,kłodzki,dolnośląskie,984539
Radlin,Radlin,wodzisławski,śląskie,945108
Radłów,Radłów,tarnowski,małopolskie,827923
Radom,Radom,Radom,mazowieckie,972750
Radomsko,Radomsko m,radomszczański,łódzkie,968078
Radomyśl Wielki,Radomyśl Wielki,mielecki,podkarpackie,982411
Radymno,Radymno m,jarosławski,podkarpackie,972594
Radziejów,Radziejów m,radziejowski,kujawsko-pomorskie,986060
Radzionków,Radzionków,tarnogórski,śląskie,938806
Radzymin,Radzymin,wołomiński,mazowieckie,921591
Radzyń Chełmiński,Radzyń Chełmiński,grudziądzki,kujawsko-pomorskie,983630
Radzyń Podlaski,Radzyń Podlaski m,radzyński,lubelskie,922277
Rajgród,Rajgród,grajewski,podlaskie,957465
Rakoniewice,Rakoniewice,grodziski,wielkopolskie,971413
Raszków,Raszków,ostrowski,wielkopolskie,937310
Rawa Mazowiecka,Rawa Mazowiecka m,rawski,łódzkie,977077
Rawicz,Rawicz,rawicki,wielkopolskie,954604
Recz,Recz,choszczeński,zachodniopomorskie,935653
Reda,Reda,wejherowski,pomorskie,934659
Rejowiec Fabryczny,Rejowiec Fabryczny m,chełmski,lubelskie,930176
Resko,Resko,łobeski,zachodniopomorskie,979580
Reszel,Reszel,kętrzyński,warmińsko-mazurskie,964979
Rogoźno,Rogoźno,obornicki,wielkopolskie,967080
Ropczyce,Ropczyce,ropczycko-sędziszowski,podkarpackie,974825
Różan,Różan,makowski,mazowieckie,966412
Ruciane-Nida,Ruciane-Nida,piski,warmińsko-mazurskie,977841
Ruda Śląska,Ruda Śląska,Ruda Śląska,śląskie,942630
Rudnik nad Sanem,Rudnik nad Sanem,niżański,podkarpackie,980850
Rumia,Rumia,wejherowski,pomorskie,934694
Rybnik,Rybnik,Rybnik,śląskie,942765
Rychwał,Rychwał,koniński,wielkopolskie,949193
Rydułtowy,Rydułtowy,wodzisławski,śląskie,943121
Rydzyna,Rydzyna,leszczyński,wielkopolskie,954633
Ryglice,Ryglice,tarnowski,małopolskie,829098
Ryki,Ryki,rycki,lubelskie,956980
Rymanów,Rymanów,krośnieński,podkarpackie,953421
Ryn,Ryn,giżycki,warmińsko-mazurskie,977893
Rypin,Rypin m,rypiński,kujawsko-pomorskie,986136
Rzepin,Rzepin,słubicki,lubuskie,935682
Rzeszów,Rzeszów,Rzeszów,podkarpackie,974133
Rzgów,Rzgów,łódzki wschodni,łódzkie,415787
Sandomierz,Sandomierz,sandomierski,świętokrzyskie,980926
Sanok,Sanok m,sanocki,podkarpackie,953510
Sejny,Sejny m,sejneński,podlaskie,977918
Serock,Serock,legionowski,mazowieckie,921645
Sędziszów,Sędziszów,jędrzejowski,świętokrzyskie,947610
Sędziszów Małopolski,Sędziszów Małopolski,ropczycko-sędziszowski,podkarpackie,974937
Sępopol,Sępopol,bartoszycki,warmińsko-mazurskie,964985
Sępólno Krajeńskie,Sępólno Krajeńskie,sępoleński,kujawsko-pomorskie,929546
Sianów,Sianów,koszaliński,zachodniopomorskie,950240
Siechnice,Siechnice,wrocławski,dolnośląskie,881160
Siedlce,Siedlce m,Siedlce,mazowieckie,975173
Siemianowice Śląskie,Siemianowice Śląskie,Siemianowice Śląskie,śląskie,943150
Siemiatycze,Siemiatycze m,siemiatycki,podlaskie,923360
Sieniawa,Sieniawa,przeworski,podkarpackie,972683
Sieradz,Sieradz m,sieradzki,łódzkie,976050
Sieraków,Sieraków,międzychodzki,wielkopolskie,971436
Sierpc,Sierpc m,sierpecki,mazowieckie,969310
Siewierz,Siewierz,będziński,śląskie,943204
Skalbmierz,Skalbmierz,kazimierski,świętokrzyskie,947627
Skała,Skała,krakowski,małopolskie,951860
Skarszewy,Skarszewy,starogardzki,pomorskie,934754
Skaryszew,Skaryszew,radomski,mazowieckie,973820
Skarżysko-Kamienna,Skarżysko-Kamienna,skarżyski,świętokrzyskie,947716
Skawina,Skawina,krakowski,małopolskie,951876
Skępe,Skępe,lipnowski,kujawsko-pomorskie,869583
Skierniewice,Skierniewice m,Skierniewice,łódzkie,976942
Skoczów,Skoczów,cieszyński,śląskie,925198
Skoki,Skoki,wągrowiecki,wielkopolskie,971459
Skórcz,Skórcz m,starogardzki,pomorskie,934777
Skwierzyna,Skwierzyna,międzyrzecki,lubuskie,935699
Sława,Sława,wschowski,lubuskie,988589
Sławków,Sławków,będziński,śląskie,943285
Sławno,Sławno m,sławieński,zachodniopomorskie,977410
Słomniki,Słomniki,krakowski,małopolskie,952077
Słubice,Słubice,słubicki,lubuskie,935736
Słupca,Słupca m,słupecki,wielkopolskie,949247
Słupsk,Słupsk m,Słupsk,pomorskie,977278
Sobótka,Sobótka,wrocławski,dolnośląskie,987294
Sochaczew,Sochaczew m,sochaczewski,mazowieckie,977120
Sokołów Małopolski,Sokołów Małopolski,rzeszowski,podkarpackie,974966
Sokołów Podlaski,Sokołów Podlaski m,sokołowski,mazowieckie,975760
Sokółka,Sokółka,sokólski,podlaskie,923443
Solec Kujawski,Solec Kujawski,bydgoski,kujawsko-pomorskie,929552
Sompolno,Sompolno,koniński,wielkopolskie,949253
Sopot,Sopot,Sopot,pomorskie,934783
Sosnowiec,Sosnowiec,Sosnowiec,śląskie,943428
Sośnicowice,Sośnicowice,gliwicki,śląskie,221936
Stalowa Wola,Stalowa Wola,stalowowolski,podkarpackie,981133
Starachowice,Starachowice,starachowicki,świętokrzyskie,947930
Stargard Szczeciński,Stargard Szczeciński m,stargardzki,zachodniopomorskie,979596
Starogard Gdański,Starogard Gdański m,starogardzki,pomorskie,934837
Stary Sącz,Stary Sącz,nowosądecki,małopolskie,963359
Staszów,Staszów,staszowski,świętokrzyskie,981274
Stawiski,Stawiski,kolneński,podlaskie,957548
Stawiszyn,Stawiszyn,kaliski,wielkopolskie,937327
Stąporków,Stąporków,konecki,świętokrzyskie,948271
Stepnica,Stepnica,goleniowski,zachodniopomorskie,783864
Stęszew,Stęszew,poznański,wielkopolskie,971494
Stoczek Łukowski,Stoczek Łukowski m,łukowski,lubelskie,975813
Stopnica,Stopnica,buski,świętokrzyskie,272951
Stronie Śląskie,Stronie Śląskie,kłodzki,dolnośląskie,984545
Strumień,Strumień,cieszyński,śląskie,925258
Stryków,Stryków,zgierski,łódzkie,959240
Strzegom,Strzegom,świdnicki,dolnośląskie,984551
Strzelce Krajeńskie,Strzelce Krajeńskie,strzelecko-drezdenecki,lubuskie,935742
Strzelce Opolskie,Strzelce Opolskie,strzelecki,opolskie,965915
Strzelin,Strzelin,strzeliński,dolnośląskie,987331
Strzelno,Strzelno,mogileński,kujawsko-pomorskie,929598
Strzyżów,Strzyżów,strzyżowski,podkarpackie,975010
Sucha Beskidzka,Sucha Beskidzka,suski,małopolskie,925287
Suchań,Suchań,stargardzki,zachodniopomorskie,979716
Suchedniów,Suchedniów,skarżyski,świętokrzyskie,948360
Suchowola,Suchowola,sokólski,podlaskie,41312
Sulechów,Sulechów,zielonogórski,lubuskie,988595
Sulejów,Sulejów,piotrkowski,łódzkie,968233
Sulejówek,Sulejówek,miński,mazowieckie,921668
Sulęcin,Sulęcin,sulęciński,lubuskie,935759
Sulmierzyce,Sulmierzyce,krotoszyński,wielkopolskie,937333
Sułkowice,Sułkowice,myślenicki,małopolskie,952137
Supraśl,Supraśl,białostocki,podlaskie,923472
Suraż,Suraż,białostocki,podlaskie,923510
Susz,Susz,iławski,warmińsko-mazurskie,932979
Suwałki,Suwałki m,Suwałki,podlaskie,977456
Swarzędz,Swarzędz,poznański,wielkopolskie,971502
Syców,Syców,oleśnicki,dolnośląskie,937379
Szadek,Szadek,zduńskowolski,łódzkie,976451
Szamocin,Szamocin,chodzieski,wielkopolskie,967096
Szamotuły,Szamotuły,szamotulski,wielkopolskie,971531
Szczawnica,Szczawnica,nowotarski,małopolskie,963454
Szczawno-Zdrój,Szczawno-Zdrój,wałbrzyski,dolnośląskie,984574
Szczebrzeszyn,Szczebrzeszyn,zamojski,lubelskie,987934
Szczecin,Szczecin,Szczecin,zachodniopomorskie,977976
Szczecinek,Szczecinek m,szczecinecki,zachodniopomorskie,950262
Szczekociny,Szczekociny,zawierciański,śląskie,932413
Szczucin,Szczucin,dąbrowski,małopolskie,831149
Szczuczyn,Szczuczyn,grajewski,podlaskie,957560
Szczyrk,Szczyrk,bielski,śląskie,925850
Szczytna,Szczytna,kłodzki,dolnośląskie,984597
Szczytno,Szczytno m,szczycieński,warmińsko-mazurskie,964991
Szepietowo,Szepietowo,wysokomazowiecki,podlaskie,407380
Szklarska Poręba,Szklarska Poręba,jeleniogórski,dolnośląskie,936368
Szlichtyngowa,Szlichtyngowa,wschowski,lubuskie,954640
Szprotawa,Szprotawa,żagański,lubuskie,988603
Sztum,Sztum,sztumski,pomorskie,932991
Szubin,Szubin,nakielski,kujawsko-pomorskie,929612
Szydłowiec,Szydłowiec,szydłowiecki,mazowieckie,973895
Ścinawa,Ścinawa,lubiński,dolnośląskie,954202
Ślesin,Ślesin,koniński,wielkopolskie,949282
Śmigiel,Śmigiel,kościański,wielkopolskie,954656
Śrem,Śrem,śremski,wielkopolskie,971560
Środa Śląska,Środa Śląska,średzki,dolnośląskie,987348
Środa Wielkopolska,Środa Wielkopolska,średzki,wielkopolskie,971614
Świątniki Górne,Świątniki Górne,krakowski,małopolskie,337774
Świdnica,Świdnica m,świdnicki,dolnośląskie,984657
Świdnik,Świdnik,świdnicki,lubelskie,957146
Świdwin,Świdwin m,świdwiński,zachodniopomorskie,950322
Świebodzice,Świebodzice,świdnicki,dolnośląskie,984663
Świebodzin,Świebodzin,świebodziński,lubuskie,988626
Świecie,Świecie,świecki,kujawsko-pomorskie,929664
Świeradów-Zdrój,Świeradów-Zdrój,lubański,dolnośląskie,936457
Świerzawa,Świerzawa,złotoryjski,dolnośląskie,936486
Świętochłowice,Świętochłowice,Świętochłowice,śląskie,943724
Świnoujście,Świnoujście,Świnoujście,zachodniopomorskie,979722
Tarczyn,Tarczyn,piaseczyński,mazowieckie,9478
Tarnobrzeg,Tarnobrzeg,Tarnobrzeg,podkarpackie,980085
Tarnogród,Tarnogród,biłgorajski,lubelskie,988069
Tarnowskie Góry,Tarnowskie Góry,tarnogórski,śląskie,943813
Tarnów,Tarnów m,Tarnów,małopolskie,981570
Tczew,Tczew m,tczewski,pomorskie,934903
Terespol,Terespol m,bialski,lubelskie,922343
Tłuszcz,Tłuszcz,wołomiński,mazowieckie,966441
Tolkmicko,Tolkmicko,elbląski,warmińsko-mazurskie,933000
Tomaszów Lubelski,Tomaszów Lubelski m,tomaszowski,lubelskie,988075
Tomaszów Mazowiecki,Tomaszów Mazowiecki m,tomaszowski,łódzkie,968300
Toruń,Toruń,Toruń,kujawsko-pomorskie,982724
Torzym,Torzym,sulęciński,lubuskie,915484
Toszek,Toszek,gliwicki,śląskie,944126
Trzcianka,Trzcianka,czarnkowsko-trzcianecki,wielkopolskie,967162
Trzciel,Trzciel,międzyrzecki,lubuskie,935771
Trzcińsko-Zdrój,Trzcińsko-Zdrój,gryfiński,zachodniopomorskie,979952
Trzebiatów,Trzebiatów,gryficki,zachodniopomorskie,979969
